[2024-06-15 00:55:06] udpate price_detail: 064850.KQ, row: 5
[2024-06-15 00:55:08] udpate price_detail: 053350.KQ, row: 5
[2024-06-15 00:55:11] udpate price_detail: 037760.KQ, row: 5
[2024-06-15 00:55:14] udpate price_detail: 041520.KQ, row: 5
[2024-06-15 00:55:17] udpate price_detail: 119850.KQ, row: 5
[2024-06-15 00:55:20] udpate price_detail: 005290.KQ, row: 5
[2024-06-15 00:55:22] udpate price_detail: 033830.KQ, row: 5
[2024-06-15 00:55:25] udpate price_detail: 190510.KQ, row: 5
[2024-06-15 00:55:28] udpate price_detail: 091120.KQ, row: 5
[2024-06-15 00:55:30] udpate price_detail: 293580.KQ, row: 5
[2024-06-15 00:55:33] udpate price_detail: 048550.KQ, row: 5
[2024-06-15 00:55:36] udpate price_detail: 067080.KQ, row: 5
[2024-06-15 00:55:39] udpate price_detail: 230360.KQ, row: 5
[2024-06-15 00:55:41] udpate price_detail: 037950.KQ, row: 5
[2024-06-15 00:55:44] udpate price_detail: 104040.KQ, row: 5
[2024-06-15 00:55:47] udpate price_detail: 219130.KQ, row: 5
[2024-06-15 00:55:49] udpate price_detail: 036120.KQ, row: 5
[2024-06-15 00:55:52] udpate price_detail: 204630.KQ, row: 43
[2024-06-15 00:55:55] udpate price_detail: 251630.KQ, row: 5
[2024-06-15 00:55:58] udpate price_detail: 063760.KQ, row: 5
[2024-06-15 00:56:01] udpate price_detail: 457630.KQ, row: 5
[2024-06-15 00:56:03] udpate price_detail: 443670.KQ, row: 5
[2024-06-15 00:56:06] udpate price_detail: 049430.KQ, row: 5
[2024-06-15 00:56:09] udpate price_detail: 032080.KQ, row: 5
[2024-06-15 00:56:12] udpate price_detail: 261200.KQ, row: 5
[2024-06-15 00:56:14] udpate price_detail: 102710.KQ, row: 5
[2024-06-15 00:56:17] udpate price_detail: 099410.KQ, row: 5
[2024-06-15 00:56:20] udpate price_detail: 448370.KQ, row: 5
[2024-06-15 00:56:23] udpate price_detail: 131180.KQ, row: 5
[2024-06-15 00:56:26] udpate price_detail: 416180.KQ, row: 5
[2024-06-15 00:56:30] udpate price_detail: 424140.KQ, row: 5
[2024-06-15 00:56:33] udpate price_detail: 352480.KQ, row: 5
[2024-06-15 00:56:36] udpate price_detail: 298060.KQ, row: 5
[2024-06-15 00:56:39] udpate price_detail: 438220.KQ, row: 139
[2024-06-15 00:56:42] udpate price_detail: 027710.KQ, row: 5
[2024-06-15 00:56:44] udpate price_detail: 464680.KQ, row: 5
[2024-06-15 00:56:48] udpate price_detail: 031310.KQ, row: 5
[2024-06-15 00:56:51] udpate price_detail: 083660.KQ, row: 5
[2024-06-15 00:56:53] udpate price_detail: 041440.KQ, row: 5
